timestamp_utc,product,area_name,location_type,location_name,lat,lon,value,mean,min,max,pixel_count,fetched_at_utc
2026-05-15T00:00:00Z,CUM24,panna,area,panna,,,,0.094,0.000,0.299,13,2026-05-20T07:39:44Z
2026-05-15T00:00:00Z,CUM24,panna,vertex,panna_v1,44.069925,11.282878,0.223,,,,,2026-05-20T07:39:44Z
2026-05-15T00:00:00Z,CUM24,panna,vertex,panna_v2,44.056699,11.316312,0.347,,,,,2026-05-20T07:39:44Z
2026-05-15T00:00:00Z,CUM24,panna,vertex,panna_v3,44.073086,11.330343,0.000,,,,,2026-05-20T07:39:44Z
2026-05-15T00:00:00Z,CUM24,panna,vertex,panna_v4,44.092201,11.312029,0.000,,,,,2026-05-20T07:39:44Z
2026-05-15T00:00:00Z,CUM24,panna,vertex,panna_v5,44.094786,11.282969,0.000,,,,,2026-05-20T07:39:44Z
2026-05-16T00:00:00Z,CUM24,panna,area,panna,,,,11.904,11.238,12.601,13,2026-05-20T07:39:55Z
2026-05-16T00:00:00Z,CUM24,panna,vertex,panna_v1,44.069925,11.282878,12.098,,,,,2026-05-20T07:39:55Z
2026-05-16T00:00:00Z,CUM24,panna,vertex,panna_v2,44.056699,11.316312,11.826,,,,,2026-05-20T07:39:55Z
2026-05-16T00:00:00Z,CUM24,panna,vertex,panna_v3,44.073086,11.330343,10.996,,,,,2026-05-20T07:39:55Z
2026-05-16T00:00:00Z,CUM24,panna,vertex,panna_v4,44.092201,11.312029,10.855,,,,,2026-05-20T07:39:55Z
2026-05-16T00:00:00Z,CUM24,panna,vertex,panna_v5,44.094786,11.282969,11.515,,,,,2026-05-20T07:39:55Z
2026-05-17T00:00:00Z,CUM24,panna,area,panna,,,,5.244,3.801,6.201,13,2026-05-20T07:40:05Z
2026-05-17T00:00:00Z,CUM24,panna,vertex,panna_v1,44.069925,11.282878,4.590,,,,,2026-05-20T07:40:05Z
2026-05-17T00:00:00Z,CUM24,panna,vertex,panna_v2,44.056699,11.316312,6.603,,,,,2026-05-20T07:40:05Z
