timestamp_utc,area_name,location_type,location_name,lat,lon,max_dbz,mean_dbz,min_dbz,max_mmh,mean_mmh,pixel_count,fetched_at_utc
2026-06-06T14:10:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:15:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:20:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:25:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:30:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:35:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:40:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:45:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:50:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T14:55:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T15:00:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T15:05:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:11:02Z
2026-06-06T13:10:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:15:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:20:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:25:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:30:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:35:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:40:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:45:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:50:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T13:55:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T14:00:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
2026-06-06T14:05:00Z,cepina,area,cepina,,,0.00,0.00,0.00,0.036,0.036,20,2026-06-06T15:12:29Z
