timestamp_utc,product,area_name,location_type,location_name,lat,lon,value,mean,min,max,pixel_count,fetched_at_utc
2026-05-15T21:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:48Z
2026-05-16T00:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:48Z
2026-05-16T00:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:48Z
2026-05-16T00:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:48Z
2026-05-16T00:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:48Z
2026-05-16T00:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:48Z
2026-05-16T00:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:48Z
2026-05-16T03:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T03:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T03:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T03:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T03:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T03:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T06:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T06:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T06:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T06:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T06:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T06:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T09:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T09:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T09:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T09:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T09:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T09:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T12:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T12:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T12:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T12:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T12:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T12:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T15:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T15:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T15:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T15:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T15:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T15:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T18:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T18:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T18:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T18:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T18:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T18:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T21:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-16T21:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T21:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T21:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T21:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-16T21:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-17T00:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:58Z
2026-05-17T00:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:58Z
2026-05-17T00:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:58Z
2026-05-17T00:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:58Z
2026-05-17T00:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:58Z
2026-05-17T00:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:58Z
2026-05-17T03:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T03:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T03:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T03:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T03:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T03:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T06:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T06:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T06:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T06:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T06:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T06:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T09:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T09:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T09:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T09:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T09:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T09:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T12:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T12:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T12:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T12:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T12:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T12:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T15:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T15:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T15:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T15:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T15:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T15:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T18:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T18:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T18:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T18:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T18:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T18:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T21:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-17T21:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T21:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T21:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T21:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-17T21:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-18T00:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:09Z
2026-05-18T00:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:09Z
2026-05-18T00:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:09Z
2026-05-18T00:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:09Z
2026-05-18T00:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:09Z
2026-05-18T00:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:09Z
2026-05-18T03:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T03:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T03:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T03:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T03:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T03:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T06:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T06:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T06:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T06:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T06:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T06:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T09:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T09:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T09:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T09:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T09:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T09:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T12:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T12:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T12:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T12:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T12:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T12:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T15:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T15:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T15:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T15:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T15:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T15:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T18:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T18:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T18:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.400,,,,,2026-05-20T07:40:19Z
2026-05-18T18:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T18:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T18:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T21:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:40:19Z
2026-05-18T21:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T21:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T21:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:40:19Z
2026-05-18T21:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:40:19Z
